"Inter","Verona","Empoli","Torino","Bologna","Udinese","Napoli","Roma","Cagliari","Sampdoria","Atalanta","Lazio","Fiorentina","Juventus","Genoa","Sassuolo","Milan","Salernitana","Spezia","Venezia"
80,47,49,50,44,42,80,63,26,34,76,67,77,69,21,49,75,22,37,32
84,52,43,69,50,51,80,66,38,36,64,59,52,68,23,49,82,20,25,30
88,59,49,52,47,43,77,62,24,45,65,59,62,70,21,49,76,24,40,33
94,47,39,54,41,48,78,67,30,33,64,58,62,75,20,45,82,16,42,48
93,55,57,59,44,56,75,57,27,34,64,62,53,76,22,46,82,16,34,28
84,48,49,46,52,42,83,61,24,36,81,64,55,73,21,53,88,25,28,29
89,43,47,50,45,49,87,60,25,45,74,55,59,63,25,54,80,25,28,34
82,60,50,56,45,47,84,54,22,42,69,63,58,68,22,51,78,19,35,36
85,51,46,60,50,43,77,67,27,34,69,57,51,70,21,58,85,21,38,25
91,48,48,51,50,55,78,63,17,30,76,62,61,73,21,52,87,24,32,25
83,51,40,55,52,53,71,69,24,41,72,64,64,67,18,50,86,27,32,28
95,39,52,53,42,45,84,63,33,32,71,59,71,79,26,49,79,17,28,25
93,57,51,56,45,49,70,58,36,40,72,58,59,56,21,51,78,19,36,32
88,53,51,53,56,48,74,61,38,38,77,59,57,65,19,55,79,15,23,30
82,56,41,55,41,42,81,61,29,41,75,64,65,61,20,52,83,22,36,37
89,49,43,45,47,39,83,58,31,40,64,61,59,67,26,46,88,22,45,27
91,58,48,65,52,45,74,68,28,39,73,55,58,67,19,44,80,25,26,33
85,55,51,60,42,43,85,60,27,39,67,74,58,68,22,52,74,17,32,30
90,46,50,61,51,51,71,54,23,43,69,62,59,77,19,49,90,22,32,28
92,60,48,51,42,50,77,57,27,45,71,60,57,66,21,47,80,15,32,35
91,56,45,43,50,52,67,60,25,39,77,66,66,73,19,51,80,21,36,23
87,47,46,63,48,46,81,62,20,45,73,60,65,65,18,42,81,18,34,35
88,55,39,66,49,47,77,62,25,41,74,58,62,61,23,41,88,22,33,25
89,50,45,51,52,53,83,60,28,35,67,69,57,64,21,42,85,24,31,35
89,49,42,58,43,48,87,67,22,35,73,62,70,65,19,47,80,19,33,37
86,62,52,54,47,60,68,66,20,49,62,58,66,70,19,39,78,24,32,32
90,56,47,57,52,54,68,60,22,32,70,65,57,60,27,50,80,17,36,32
84,40,50,55,50,50,76,58,28,51,80,61,65,68,20,42,86,17,27,30
89,58,43,50,52,39,76,63,25,37,70,66,61,67,30,44,80,19,33,31
82,45,54,52,56,52,79,57,21,44,74,56,65,68,19,56,83,19,25,30
91,53,47,57,48,46,82,61,27,43,70,63,61,67,19,44,84,17,31,29
88,58,38,50,59,46,85,53,26,40,77,57,69,66,19,50,72,26,30,35
86,57,47,53,53,49,79,66,27,40,73,63,62,73,19,44,79,14,27,29
88,53,40,50,50,58,66,70,25,37,76,57,64,69,20,53,82,17,28,35
88,53,53,43,50,48,85,55,30,41,75,69,59,74,25,43,73,17,28,26
85,42,45,54,52,41,74,62,37,32,71,66,58,70,21,49,80,17,40,31
82,54,48,53,50,44,75,68,29,41,74,54,67,72,21,54,83,16,24,34
85,47,40,52,44,49,76,73,31,38,69,62,73,67,24,48,79,13,38,34
86,48,50,49,60,54,82,50,32,43,63,56,63,71,21,48,81,22,33,30
91,56,52,54,47,50,80,71,27,40,77,44,54,65,20,58,69,20,36,27
86,57,39,49,52,52,79,65,19,39,77,59,52,72,24,52,85,20,35,27
87,56,42,45,52,51,82,68,33,36,66,59,64,78,20,41,87,21,24,31
88,52,47,48,51,50,74,61,23,42,78,65,72,74,24,47,72,23,27,25
97,63,56,48,50,43,78,57,22,34,63,71,56,76,25,49,77,20,34,30
83,50,43,60,57,44,85,58,22,36,73,69,61,66,21,51,79,17,30,36
80,63,47,59,55,55,75,70,22,36,75,61,57,64,18,52,83,22,28,28
90,40,49,46,49,47,79,65,26,41,69,57,74,66,23,54,83,15,31,29
89,46,51,58,49,44,70,68,25,43,80,58,73,71,17,41,79,20,36,27
